t,y_euler,y_exact,error
0,1,1,0
0.005,1,0.9999999791927083,0.00000002080729166742401
0.01,0.9999999375001302,0.99999983375,0.00000010375013015373469
0.015,0.9999996878147128,0.999999439609375,0.0000002482053378383142
0.02,0.9999991268861861,0.999998673333333,0.0000004535528530524857
0.025,0.9999981312850881,0.9999974121093738,0.0000007191757143143462
0.03,0.9999965782100412,0.9999955337499957,0.0000010444600454517783
0.035,0.9999943454877359,0.9999929166926956,0.000001428795040281372
0.04,0.9999913115729147,0.9999894399999676,0.000001871572947065303
0.045,0.9999873555483549,0.9999849833593013,0.0000023721890536343437
0.05,0.9999823571248524,0.9999794270831793,0.000002930041673065986
0.055,0.999976196641203,0.999972652109075,0.0000035445321279192754
0.06,0.9999687550641849,0.9999645399994488,0.000004215064736134977
0.065,0.99995991398854,0.9999549729417436,0.000004941046796380633
0.07,0.9999495556369538,0.9999438337483804,0.000005721888573395617
0.075,0.9999375628600354,0.9999310058567514,0.000006557003284002327
0.08,0.9999238191362962,0.999916373329214,0.000007445807082229194
0.085,0.9999082085721278,0.9998998208530818,0.000008387719045988007
0.09,0.9998906159017786,0.9998812337406168,0.000009382161161863856
0.095,0.9998709264873297,0.9998604979290171,0.000010428558312569614
0.1,0.9998490263186692,0.9998374999804067,0.000011526338262513036
0.105,0.999824802013466,0.9998121270818228,0.00001267493164325284
0.11,0.9997981408171411,0.9997842670452,0.000013873771941175228
0.115,0.9997689306028389,0.9997538083073554,0.000015122295483505077
0.12,0.9997370598713958,0.9997206399299715,0.00001641994142431713
0.125,0.9997024177513082,0.9996846515995761,0.0000177661517321015
0.13,0.9996648939986983,0.9996457336275221,0.000019160371176218938
0.135,0.9996243789972787,0.9996037769499654,0.00002060204731335613
0.14,0.9995807637583151,0.9995586731278397,0.000022090630475313233
0.145,0.9995339399205867,0.9995103143468311,0.000023625573755570173
0.15,0.9994837997503457,0.9994585934173497,0.000025206332996074998
0.155,0.9994302361412742,0.9994034037744984,0.00002683236677580858
0.16,0.9993731426144391,0.9993446394780421,0.000028503136397017848
0.165,0.999312413318245,0.9992821952123723,0.000030218105872781287
0.17,0.9992479430283856,0.9992159662864704,0.00003197674191524058
0.17500000000000002,0.9991796271477915,0.9991458486338683,0.00003377851392316611
0.18,0.9991073617065772,0.9990717388126088,0.00003562289396841223
0.185,0.9990310433619849,0.9989935340051992,0.00003750935678570322
0.19,0.9989505693983262,0.9989111320185666,0.000039437379759532654
0.195,0.9988658377269208,0.9988244312840088,0.00004140644291206197
0.2,0.9987767468860341,0.9987333308571422,0.00004341602889190721
0.20500000000000002,0.9986831960408101,0.9986377304178488,0.000045465622961371466
0.21,0.9985850849832036,0.9985375302702174,0.00004755471298623082
0.215,0.9984823141319084,0.9984326313424858,0.00004968278942252269
0.22,0.9983747845322831,0.9983229351869767,0.00005184934530644281
0.225,0.9982623978562747,0.9982083439800329,0.00005405387624179969
0.23,0.9981450564023381,0.9980887605219487,0.00005629588038935651
0.23500000000000001,0.9980226630953533,0.9979640882368978,0.000058574858455506806
0.24,0.9978951214865397,0.9978342311728587,0.000060890313680950214
0.245,0.9977623357533671,0.9976990940015378,0.0000632417518293682
0.25,0.9976242106994635,0.9975585820182862,0.00006562868117732101
0.255,0.9974806517545194,0.9974126011420172,0.00006805061250214628
0.26,0.9973315649741896,0.9972610579151173,0.00007050705907230004
0.265,0.9971768570399913,0.9971038595033551,0.0000729975366361435
0.27,0.9970164352591979,0.9969409136957874,0.00007552156341050775
0.275,0.9968502075647314,0.9967721289046596,0.00007807866007181197
0.28,0.996678082515049,0.9965974141653051,0.00008066834974385095
0.28500000000000003,0.9964999692940276,0.9964166791360389,0.00008329015798869133
0.29,0.9963157777108445,0.9962298340980489,0.00008594361279556928
0.295,0.9961254181998537,0.9960367899552831,0.0000886282445705655
0.3,0.9959288018204595,0.9958374582343317,0.00009134358612783444
0.305,0.9957258402569853,0.9956317510843082,0.00009408917267705874
0.31,0.995516445818539,0.995419581276723,0.00009686454181601079
0.315,0.9953005314388749,0.9952008622053564,0.00009966923351845125
0.32,0.9950780106762508,0.9949755078861248,0.00010250279012602448
0.325,0.9948487977132817,0.9947434329569445,0.00010536475633726727
0.33,0.9946128073567894,0.9945045526775909,0.00010825467919850507
0.335,0.9943699550376474,0.994258782929553,0.000111172108094304
0.34,0.9941201568106224,0.994006040215885,0.0001141165947373679
0.34500000000000003,0.993863329354211,0.9937462416610522,0.00011708769315876832
0.35000000000000003,0.9935993899704725,0.9934793050107718,0.00012008495970072808
0.355,0.993328256584857,0.9932051486318529,0.00012310795300407573
0.36,0.9930498477460294,0.9929236915120279,0.00012615623400158427
0.365,0.9927640826256889,0.9926348532597817,0.0001292293659072019
0.37,0.9924708810183839,0.9923385541041756,0.00013232691420828058
0.375,0.9921701633413221,0.9920347148946671,0.00013544844665502875
0.38,0.9918618506341771,0.9917232571009243,0.00013859353325273993
0.385,0.9915458645588887,0.9914041028126368,0.00014176174625191162
0.39,0.9912221273994601,0.9910771747393196,0.00014495266014058483
0.395,0.9908905620617494,0.990742396210115,0.00014816585163446305
0.4,0.9905510920732562,0.9903996911735875,0.00015140089966869663
0.405,0.9902036415829043,0.9900489841975147,0.0001546573853895561
0.41000000000000003,0.9898481353608186,0.9896902004686736,0.00015793489214499523
0.41500000000000004,0.9894844987980975,0.9893232657926208,0.00016123300547676855
0.42,0.9891126579065802,0.9889481065934675,0.0001645513131126597
0.425,0.9887325393186088,0.9885646499136529,0.0001678894049559343
0.43,0.988344070286786,0.9881728234137062,0.00017124687307978892
0.435,0.9879471786837264,0.9877725553720097,0.00017462331171669287
0.44,0.9875417930018044,0.9873637746845523,0.000178018317252171
0.445,0.9871278423528952,0.9869464108646799,0.00018143148821525568
0.45,0.9867052564681114,0.9865203940428402,0.00018486242527115948
0.455,0.9862739656975342,0.9860856549663213,0.0001883107312129484
0.46,0.9858339010099394,0.9856421249989855,0.0001917760109538813
0.465,0.9853849939925173,0.9851897361209978,0.00019525787151952745
0.47000000000000003,0.9849271768505884,0.9847284209285491,0.00019875592203932868
0.47500000000000003,0.9844603824073122,0.9842581126335719,0.00020226977374027122
0.48,0.9839845441033914,0.9837787450634539,0.00020579903993755977
0.485,0.9834995959967708,0.983290252660743,0.00020934333602784516
0.49,0.9830054727623296,0.9827925704828478,0.00021290227948178586
0.495,0.9825021096915686,0.9822856342017321,0.00021647548983649845
0.5,0.9819894426922918,0.9817693801036046,0.00022006258868723094
0.505,0.9814674082882823,0.9812437450886009,0.0002236631996813676
0.51,0.9809359436189719,0.9807086666704623,0.00022727694850954716
0.515,0.9803949864391057,0.9801640829762057,0.00023090346290000063
0.52,0.9798444751184006,0.9796099327457906,0.00023454237261000266
0.525,0.9792843486411968,0.9790461553317771,0.00023819330941976524
0.53,0.9787145466061056,0.9784726906989816,0.00024185590712400007
0.535,0.9781350092256489,0.9778894794241226,0.00024552980152625636
0.54,0.9775456773258944,0.9772964626954634,0.0002492146304309273
0.545,0.976946492346084,0.9766935823124471,0.00025291003363692166
0.55,0.9763373963382562,0.9760807806853258,0.0002566156529304475
0.555,0.9757183319668624,0.9754580008347844,0.0002603311320780177
0.56,0.9750892425083773,0.9748251863915571,0.00026405611682012164
0.5650000000000001,0.9744500718509025,0.9741822815960386,0.00026779025486389774
0.5700000000000001,0.9738007644937647,0.9735292312978876,0.0002715331958771383
0.5750000000000001,0.9731412655471072,0.9728659809556262,0.0002752845914810731
